Location,Latitude,Longtitude,Type
žižkov TV Tower,50.0811321,14.4481607,Landmark
Obecní Dům,50.08747976549274, 14.428112644330833,Landmark
The Alchemist Bar,50.0846219,14.4204355,Bar
Cafe Pod Lipami,50.100356327212026,14.421253096863305,Cafe
ART CAFÉ 14 - GALERIE BOŘKA ŠÍPKA - ART RESIDENCE PRAGUE,50.0874535,14.3971042,Cafe
Malostranská beseda,50.088367871525286,14.40477763919127,Prague Fringe
Divadlo Inspirace,50.08849395717344,14.401991596862558,Prague Fringe
A Studio Rubín,50.08749100675154,14.402854981519969,Prague Fringe
Charles Bridge Comedy Club,50.087386122988626,14.406527839191208,Prague Fringe
On The Roc's,50.0876729,14.4006244,Prague Fringe
Mlýnská kavárna,50.082700908529524, 14.40691175595891,Bar
Museum of Alchemists and Magicians of Old Prague,50.08808598547904,14.398822882770277,Prague Fringe
Míšeňská Cafe,50.08767305531143,14.408011571053533,Prague Fringe
ROESEL Beer & Food,50.087482320884035, 14.405743654417458,Prague Fringe
Mucha Museum,50.08427978168806,14.427509552684096,Museum
Vyšehrad Cemetery,50.0647238,14.415525,Landmark
Cafe Slavia,50.081515186554185, 14.413655127242382,Landmark
Tesco (Smichov),50.0721476,14.4011525,Shops & Public Transport
Florenc Bus Terminal,50.089300784104,14.440323787819848,Shops & Public Transport 
Vila Lanna,50.1024568,14.4046821,Hotel or Hostel
Clown & Bard Hostel,50.08264613353047,14.44668719686217,Hotel or Hostel
Duende,50.08422562852985, 14.414175653507753,Bar
