Location,Latitude,Longtitude
Wyndham Grand Salzburg Conference Centre,47.8152999,13.0391866
The Dubliner Irish Pub,47.7976367,13.0436361
Murphy's Law Irish Pub,47.801846,13.0293928
Shamrock,47.8002298,13.0366439
O'Paddys,47.837625,12.9719438
Celtic Spirit,47.803592,13.0360339
The Salzburg Whiskey Museum - Bar,47.803592,13.0360339
Mirabell Palace (Schloss Mirabell),47.8054431,13.0370808
Museum der Moderne Salzburg,47.7982071,13.0407144
Toy Museum Salzburg,47.7982071,13.0407144
Mozart's Birthplace,47.7982071,13.0407144
StageBar Salzburg,47.7977022,13.0447013
Soho Bar im Elefant,47.7997642,13.0398883
László's Karaoke,47.7879221,13.0593675
Musa's Musik Pub,47.8116509,13.0229274
Alchemiste Belge,47.803429515728396, 13.045811501509162
Footbridge,47.801756725423225, 13.042178449500971
The Keep Hotel and Cafe,47.809104937451494, 13.038965805859345
Salzburg Rail Station,47.81302626793032, 13.045278849622298
Schloss Mirabell,47.805510937410666, 13.042119207463
Festung Hohensalzburg,47.794924221904665, 13.046979370266774
